ReshapeID	BoneName	FKUniformScale	FKScaleTranslation	FKTranslationX	FKTranslationY	FKTranslationZ	PostScaleX	PostScaleY	PostScaleZ	PostRotationX	PostRotationY	PostRotationZ	PostTranslationX	PostTranslationY	PostTranslationZ	ValueMin	ValueMax	InverseValue	InverseSocketScale	OptionalInverseSocket
0	bip01	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	0	0	0
0	bip01 neck1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 l upperarm	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 r upperarm	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bone_l_thightwist	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bone_r_thightwist	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 lthightwist	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 rthightwist	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 l thigh	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 r thigh	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 lthightwist1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 rthightwist1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 l calf	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 r calf	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 l foot	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 r foot	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 l toe0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	bip01 r toe0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.9	1.1	1	0	0
0	b_spine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	b_long	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	b_spine2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	b_lp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	b_rp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	b_lc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	b_rc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	bip01 spine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	bip01 spine1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	bip01 spine2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	bip01 l calf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	bip01 r calf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	bip01 l clavicle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
0	bip01 r clavicle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
1	bip01 head	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	0	0	0
1	s_hat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	1
2	bip01 head	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.5	0.5	0	0	0
3	bip01 neck1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.8	1.2	0	0	0
4	bip01 l clavicle	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	0	0	0
4	bip01 l upperarm	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	0	0
4	bip01 r clavicle	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	0	0	0
4	bip01 l clavicle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
4	bip01 r clavicle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	1	0
4	bip01 r upperarm	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	1.1	1	0	0
5	bip01 l clavicle	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.8	1.2	0	0	0
5	bip01 r clavicle	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.8	1.2	0	0	0
6	bip01 spine2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.8	1.2	0	0	0
7	bip01 spine2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.8	1.2	0	0	0
8	bip01 spine1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.8	1.2	0	0	0
9	bip01 spine1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.8	1.2	0	0	0
