RoleType	Type	ShowID	CanUseInCreate	RewardsPrice	CoinPrice	Discount	DisStartTime	DisEndTime	ColorID0	ColorID1	MaxParamID0	MaxParamID1	MaxParamID2
1	0	1	1	0	0	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	0	2	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	0	3	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	0	4	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	0	5	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	1	1	0	0	50	1717052400	1721026800	1	0	201	201	201
1	1	2	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	3	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	4	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	5	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	6	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	7	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	8	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	9	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	10	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	11	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	12	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	13	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	14	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	15	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	16	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	17	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	18	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	19	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	20	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	21	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	22	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	23	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	24	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	25	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	26	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	32	0	0	1500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	1	34	0	0	1500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	1	1	0	0	50	1717052400	1721026800	1	0	201	201	201
1	2	2	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	3	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	4	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	5	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	6	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	7	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	8	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	9	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	10	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	11	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	12	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	13	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	14	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	15	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	16	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	17	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	18	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	19	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	20	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	21	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	22	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	23	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	24	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	25	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
1	2	26	1	0	500	50	1717052400	1721026800	4294967295	4294967295	201	201	201
