RoleType	DecorationID	CoinPrice	Discount	DisStartTime	DisEndTime
1	0	0	100	-1	-1
1	1	3800	50	1685602800	1685948400
1	2	3800	50	1685602800	1685948400
1	3	3800	50	1685602800	1685948400
1	4	3800	50	1685602800	1685948400
1	5	3800	50	1685602800	1685948400
1	6	3800	50	1685602800	1685948400
1	7	3800	50	1685602800	1685948400
1	8	3800	50	1685602800	1685948400
1	9	3800	50	1685602800	1685948400
1	10	3800	50	1685602800	1685948400
1	11	3800	50	1685602800	1685948400
1	12	3800	50	1685602800	1685948400
1	13	3800	50	1685602800	1685948400
1	14	3800	50	1685602800	1685948400
1	15	3800	50	1685602800	1685948400
1	16	3800	50	1685602800	1685948400
1	17	3800	50	1685602800	1685948400
1	18	3800	50	1685602800	1685948400
1	19	3800	50	1685602800	1685948400
1	20	3800	50	1685602800	1685948400
1	21	3800	50	1685602800	1685948400
1	22	3800	50	1685602800	1685948400
1	23	3800	50	1685602800	1685948400
1	24	3800	50	1685602800	1685948400
1	25	3800	50	1685602800	1685948400
1	26	3800	50	1685602800	1685948400
1	27	5800	50	1685602800	1685948400
1	28	5800	50	1685602800	1685948400
1	29	5800	50	1685602800	1685948400
1	30	5800	50	1685602800	1685948400
1	31	5800	50	1685602800	1685948400
1	32	5800	50	1685602800	1685948400
1	33	5800	50	1685602800	1685948400
1	34	3800	50	1685602800	1685948400
1	35	3800	50	1685602800	1685948400
1	36	5800	50	1685602800	1685948400
1	37	5800	50	1685602800	1685948400
2	0	0	100	-1	-1
2	1	3800	50	1685602800	1685948400
2	2	3800	50	1685602800	1685948400
2	3	3800	50	1685602800	1685948400
2	4	3800	50	1685602800	1685948400
2	5	3800	50	1685602800	1685948400
2	6	3800	50	1685602800	1685948400
2	7	3800	50	1685602800	1685948400
2	8	3800	50	1685602800	1685948400
2	9	3800	50	1685602800	1685948400
2	10	3800	50	1685602800	1685948400
2	11	3800	50	1685602800	1685948400
2	12	3800	50	1685602800	1685948400
2	13	5800	50	1685602800	1685948400
2	14	5800	50	1685602800	1685948400
2	15	5800	50	1685602800	1685948400
2	16	5800	50	1685602800	1685948400
2	17	5800	50	1685602800	1685948400
2	18	5800	50	1685602800	1685948400
2	19	3800	50	1685602800	1685948400
2	20	5800	50	1685602800	1685948400
2	21	3800	50	1685602800	1685948400
2	22	5800	50	1685602800	1685948400
2	23	5800	50	1685602800	1685948400
5	0	0	100	-1	-1
5	1	3800	50	1685602800	1685948400
5	2	3800	50	1685602800	1685948400
5	3	3800	50	1685602800	1685948400
5	4	3800	50	1685602800	1685948400
5	5	3800	50	1685602800	1685948400
5	6	3800	50	1685602800	1685948400
5	7	3800	50	1685602800	1685948400
5	8	3800	50	1685602800	1685948400
5	9	3800	50	1685602800	1685948400
5	10	3800	50	1685602800	1685948400
5	11	3800	50	1685602800	1685948400
5	12	3800	50	1685602800	1685948400
5	13	5800	50	1685602800	1685948400
5	14	5800	50	1685602800	1685948400
5	15	5800	50	1685602800	1685948400
5	16	5800	50	1685602800	1685948400
5	17	5800	50	1685602800	1685948400
5	18	5800	50	1685602800	1685948400
5	19	5800	50	1685602800	1685948400
5	20	3800	50	1685602800	1685948400
5	21	3800	50	1685602800	1685948400
5	22	5800	50	1685602800	1685948400
5	23	5800	50	1685602800	1685948400
6	0	0	100	-1	-1
6	1	3800	50	1685602800	1685948400
6	2	3800	50	1685602800	1685948400
6	3	3800	50	1685602800	1685948400
6	4	3800	50	1685602800	1685948400
6	5	3800	50	1685602800	1685948400
6	6	3800	50	1685602800	1685948400
6	7	3800	50	1685602800	1685948400
6	8	3800	50	1685602800	1685948400
6	9	3800	50	1685602800	1685948400
6	10	3800	50	1685602800	1685948400
6	11	3800	50	1685602800	1685948400
6	12	3800	50	1685602800	1685948400
6	13	3800	50	1685602800	1685948400
6	14	5800	50	1685602800	1685948400
6	15	5800	50	1685602800	1685948400
6	16	5800	50	1685602800	1685948400
6	17	5800	50	1685602800	1685948400
6	18	5800	50	1685602800	1685948400
6	19	5800	50	1685602800	1685948400
6	20	3800	50	1685602800	1685948400
6	21	5800	50	1685602800	1685948400
6	22	3800	50	1685602800	1685948400
6	23	5800	50	1685602800	1685948400
6	24	5800	50	1685602800	1685948400
